ptr,TOT_ENR_M,TOT_ENR_F,TOT_ENR,Mean_rating
14.415409,694,608,1302,4
5.9038343,49,55,104,2
13.041529,755,714,1469,4
13.35803,267,263,530,3.875
12.041237,315,295,610,4
14.267504,820,687,1507,2.875
14.174685,753,735,1488,3
11.456848,1413,1347,2760,3.625
17.333235,2435,2265,4700,3.375
10.150812,190,174,364,2.375
12.587413,253,240,493,3.875
10.096857,569,548,1117,2.75
11.792322,466,422,888,3.5
14.29361,2578,2427,5005,3.75
11.331232,406,385,791,3.125
11.325207,158,153,311,3.125
14.373118,816,716,1532,3
12.965517,601,542,1143,4
9.4783878,631,564,1195,3.25
12.268565,326,287,613,2.625
11.47882,663,655,1318,3.75
11.279881,264,246,510,4
11.170031,330,309,639,3.625
14.878822,756,704,1460,3
17.010771,2135,1943,4078,4
12.053247,792,754,1546,3.75
9.4453592,94,71,165,4
11.778731,124,118,242,2.625
14.578278,1386,1217,2603,3.375
12.009719,378,340,718,4
12.058382,485,479,964,3.75
14.012853,409,371,780,3
9.0370369,108,97,205,3.75
12.5,130,134,264,4
12.271485,299,287,586,3
12.864194,395,404,799,4
12.772017,616,522,1138,3.875
15.704184,249,265,514,4
11.252591,192,169,361,3
12.5502,519,476,995,3
16.819084,3113,3032,6145,4
13.784625,1697,1646,3343,3.75
13.969236,851,840,1691,3.5
15.58427,2277,2007,4284,3.25
13.02682,104,87,191,2
11.476191,491,395,886,3.625
13.969336,200,203,403,3.375
13.958239,654,615,1269,3.25
14.148378,28129,26564,54693,4
16.485567,2707,2540,5247,4
12.090236,360,356,716,2.857142857
14.004135,552,495,1047,3.5
12.238598,605,600,1205,3.75
12.175809,579,534,1113,2.875
11.06515,158,146,304,3.25
16.882591,2846,2740,5586,4
14.014929,1792,1581,3373,3
14.054351,240,234,474,4
13.030714,627,566,1193,3.125
11.084883,514,592,1106,2.375
11.558402,394,376,770,1.875
13.299306,1164,1119,2283,3.375
14.641549,677,659,1336,4
7.0054946,80,79,159,2
9.0292845,358,295,653,3.625
13.258984,911,870,1781,3.125
11.660517,168,167,335,3.375
11.430438,350,321,671,3
10.711161,460,395,855,3.625
14.560551,361,336,697,4
12.202021,292,281,573,2.75
12.713575,871,797,1668,3
15.924502,1494,1398,2892,2.125
8.4670944,108,138,246,2.75
11.499679,279,264,543,3.625
12.5,232,252,484,4
10.671937,194,232,426,3.75
12.59626,250,231,481,2.875
13.284498,2498,2421,4919,3.875
10.908261,363,348,711,2.625
12.081947,339,359,698,2
14.254351,1385,1342,2727,2.875
16.331383,4178,3984,8162,3.125
14.152009,456,408,864,3.625
13.757115,802,684,1486,3.625
15.182594,4190,4046,8236,4
10.813148,116,130,246,2.5
14.857633,4252,3866,8118,3.125
16.292007,4147,4042,8189,4
10.689144,313,262,575,2.875
7.0999999,135,159,294,2.25
14.870907,1088,1050,2138,3.75
6.1875,63,64,127,3.125
10.892775,368,358,726,3.875
11.660996,181,189,370,3
12.35581,816,789,1605,2.5
15.480625,2401,2293,4694,4
14.018254,937,887,1824,3.875
11.262798,325,277,602,3.5
14.774512,705,696,1401,3
12.469337,323,308,631,3.75
11.361831,390,361,751,3.75
15.212001,1265,1237,2502,2.375
16.814159,3242,3020,6262,3.375
12.365396,506,461,967,4
11.276828,153,152,305,2.875
10.465785,107,78,185,2.75
10.825781,128,102,230,3.571428571
15.327277,19070,18101,37171,4
16.308592,7902,7544,15446,4
14.902978,1717,1745,3462,4
10.184502,298,275,573,3.5
12.673737,650,616,1266,3.5
9.1420536,72,60,132,2.5
5.4038463,177,116,293,3.375
10.231866,227,257,484,3.25
13.052631,66,83,149,4
11.524843,535,485,1020,2
11.642858,92,80,172,2.375
16.715763,1169,1164,2333,4
